ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  335    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
 1005    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
  335    0.002    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
 3493    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
  411    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
 3493    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
  670    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
  335    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
335/4    0.001    0.000    0.289    0.072 <frozen importlib._bootstrap_external>:722(exec_module)
 1654    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
  335    0.005    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:793(get_code)
  649    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
  335    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
  335    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
  335    0.006    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:914(get_data)
  591    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
  335    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
   58    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
    1    0.000    0.000    0.000    0.000 <string>:1(<module>)
   10    0.000    0.000    0.000    0.000 <string>:1(__new__)
    1    0.000    0.000    0.000    0.000 <string>:2(<module>)
    1    0.000    0.000    0.000    0.000 CpuSpecification.py:1(<module>)
    2    0.000    0.000    0.000    0.000 CpuSpecification.py:11(__init__)
    1    0.000    0.000    0.000    0.000 CpuSpecification.py:29(Origin)
    2    0.000    0.000    0.000    0.000 CpuSpecification.py:34(__init__)
    1    0.000    0.000    0.000    0.000 CpuSpecification.py:44(CoreSpecification)
    1    0.000    0.000    0.000    0.000 CpuSpecification.py:6(MaterialCuboid)
    1    0.000    0.000    0.000    0.000 CpuSpecification.py:61(CpuSpecification)
    1    0.000    0.000    0.000    0.000 CpuSpecification.py:63(__init__)
  3/1    0.000    0.000    0.000    0.000 CpuSpecification.py:77(generate_automatic_origins)
    1    0.000    0.000    0.000    0.000 EnvironmentSpecification.py:1(<module>)
    1    0.000    0.000    0.000    0.000 EnvironmentSpecification.py:1(EnvironmentSpecification)
    1    0.000    0.000    0.000    0.000 EnvironmentSpecification.py:6(__init__)
    1    0.000    0.000    0.000    0.000 GlobalSpecification.py:1(<module>)
    1    0.000    0.000    0.000    0.000 GlobalSpecification.py:14(__init__)
    1    0.000    0.000    0.000    0.000 GlobalSpecification.py:9(GlobalSpecification)
    1    0.000    0.000    0.000    0.000 SimulationSpecification.py:1(<module>)
    1    0.000    0.000    0.000    0.000 SimulationSpecification.py:4(SimulationSpecification)
    1    0.000    0.000    0.000    0.000 SimulationSpecification.py:9(__init__)
    1    0.000    0.000    0.000    0.000 TasksSpecification.py:1(<module>)
    6    0.000    0.000    0.000    0.000 TasksSpecification.py:11(__init__)
    1    0.000    0.000    0.000    0.000 TasksSpecification.py:23(TasksSpecification)
    1    0.000    0.000    0.000    0.000 TasksSpecification.py:28(__init__)
    3    0.000    0.000    0.000    0.000 TasksSpecification.py:33(<lambda>)
    1    0.000    0.000    0.000    0.000 TasksSpecification.py:6(Task)
    2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
    1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
    1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
   10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
   12    0.001    0.000    0.081    0.007 __init__.py:1(<module>)
    1    0.000    0.000    0.008    0.008 __init__.py:10(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:106(<listcomp>)
    1    0.000    0.000    0.108    0.108 __init__.py:106(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:1070(FileHandler)
    1    0.000    0.000    0.000    0.000 __init__.py:11(<module>)
    1    0.000    0.000    0.014    0.014 __init__.py:110(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:1139(_StderrHandler)
    1    0.000    0.000    0.000    0.000 __init__.py:1145(__init__)
    1    0.000    0.000    0.000    0.000 __init__.py:1163(PlaceHolder)
    1    0.000    0.000    0.000    0.000 __init__.py:1205(Manager)
    1    0.000    0.000    0.000    0.000 __init__.py:1210(__init__)
    1    0.000    0.000    0.000    0.000 __init__.py:123(<listcomp>)
    1    0.000    0.000    0.000    0.000 __init__.py:13(<listcomp>)
    1    0.000    0.000    0.000    0.000 __init__.py:1326(Logger)
    1    0.000    0.000    0.000    0.000 __init__.py:1341(__init__)
   14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
    1    0.000    0.000    0.000    0.000 __init__.py:1392(Popen)
    2    0.000    0.000    0.000    0.000 __init__.py:14(<listcomp>)
    1    0.000    0.000    0.000    0.000 __init__.py:1478(<listcomp>)
    2    0.000    0.000    0.012    0.006 __init__.py:15(<module>)
    1    0.000    0.000    0.003    0.003 __init__.py:151(<module>)
    1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
    1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
    1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
    1    0.000    0.000    0.000    0.000 __init__.py:1667(RootLogger)
    1    0.000    0.000    0.000    0.000 __init__.py:1673(__init__)
    1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
    1    0.000    0.000    0.000    0.000 __init__.py:1684(LoggerAdapter)
    2    0.000    0.000    0.000    0.000 __init__.py:1710(cpu_times)
